"File : D:\USERS\NATHAN\NIST_IN-SITU_INCONEL718\P2_DUMMY\P1_A_2_REAL_LOADCELL_FINAL.CSV saved 11/22/2024 at 2:28:29 PM"
"Sample : Default"
"Span : 10.0"
"Width : 5.0"
"Thickness : 1.0"
"Start Sampletime : 500ms"
"Start Speed : 1.0mm/min"
"Gain : x1"
"Video file : "
"Scale : 20.523"
"Number of points : 127"
"Ver6.3.40"
"Tensile"
""
""
"Test duration : 63.5s"
"Max travel : 1.465mm"
"Max extension : 0.844mm"
"Comment : CT5KN tomography with 415:1 gearbox &  512 line encoder. Calibrated at 5254N. Trip set to 5000N"
"Point","Elongation","Force","Position","Code","Samplerate","Motorspeed"
12.5,.129,490.371,10.101,0,500,"1.0mm/min"
13,.136,525.1005,10.108,0,500,"1.0mm/min"
13.5,.145,552.9194,10.116,0,500,"1.0mm/min"
14,.154,555.2122,10.125,2,500,"1.0mm/min"
14.5,.156,568.1516,10.128,0,500,"1.0mm/min"
15,.165,591.1603,10.136,0,500,"1.0mm/min"
15.5,.173,601.9672,10.144,0,500,"1.0mm/min"
16,.18,586.9434,10.151,2,500,"1.0mm/min"
16.5,.181,591.5932,10.152,0,500,"1.0mm/min"
17,.187,614.634,10.158,0,500,"1.0mm/min"
17.5,.194,619.845,10.166,0,500,"1.0mm/min"
18,.203,603.6026,10.174,2,500,"1.0mm/min"
18.5,.207,626.2746,10.179,0,500,"1.0mm/min"
19,.215,632.2553,10.187,0,500,"1.0mm/min"
19.5,.222,635.6224,10.194,0,500,"1.0mm/min"
20,.229,622.5227,10.2,2,500,"1.0mm/min"
20.5,.232,634.7566,10.203,0,500,"1.0mm/min"
21,.239,643.8799,10.21,0,500,"1.0mm/min"
21.5,.246,646.4293,10.218,0,500,"1.0mm/min"
22,.253,602.9292,10.224,2,500,"1.0mm/min"
22.5,.254,615.4998,10.226,0,500,"1.0mm/min"
23,.261,648.5297,10.233,0,500,"1.0mm/min"
23.5,.268,651.5441,10.24,0,500,"1.0mm/min"
24,.278,637.0655,10.249,2,500,"1.0mm/min"
24.5,.279,642.1963,10.25,0,500,"1.0mm/min"
25,.285,656.5948,10.257,0,500,"1.0mm/min"
25.5,.293,658.2303,10.264,0,500,"1.0mm/min"
26,.303,634.8367,10.274,2,500,"1.0mm/min"
26.5,.303,638.1397,10.275,0,500,"1.0mm/min"
27,.309,663.1366,10.281,0,500,"1.0mm/min"
27.5,.317,666.2633,10.289,0,500,"1.0mm/min"
28,.329,644.1204,10.3,2,500,"1.0mm/min"
28.5,.334,668.2515,10.306,0,500,"1.0mm/min"
29,.342,672.7891,10.314,0,500,"1.0mm/min"
29.5,.354,647.2951,10.325,2,500,"1.0mm/min"
30,.357,661.6615,10.328,0,500,"1.0mm/min"
30.5,.364,678.6896,10.336,0,500,"1.0mm/min"
31,.372,678.6575,10.344,0,500,"1.0mm/min"
31.5,.38,664.1788,10.351,2,500,"1.0mm/min"
32,.386,681.0305,10.357,0,500,"1.0mm/min"
32.5,.395,682.2972,10.366,0,500,"1.0mm/min"
33,.404,655.264,10.375,2,500,"1.0mm/min"
33.5,.405,662.5915,10.377,0,500,"1.0mm/min"
34,.413,687.2356,10.385,0,500,"1.0mm/min"
34.5,.422,687.6365,10.394,0,500,"1.0mm/min"
35,.429,670.3519,10.401,2,500,"1.0mm/min"
35.5,.431,677.7596,10.403,0,500,"1.0mm/min"
36,.439,689.8812,10.411,0,500,"1.0mm/min"
36.5,.448,689.9293,10.42,0,500,"1.0mm/min"
37,.456,672.4203,10.427,2,500,"1.0mm/min"
37.5,.458,679.2668,10.429,0,500,"1.0mm/min"
38,.466,693.3125,10.438,0,500,"1.0mm/min"
38.5,.478,664.2269,10.449,2,500,"1.0mm/min"
39,.48,675.4828,10.452,0,500,"1.0mm/min"
39.5,.489,696.856,10.46,0,500,"1.0mm/min"
40,.498,696.7117,10.469,0,500,"1.0mm/min"
40.5,.506,681.6077,10.478,2,500,"1.0mm/min"
41,.513,697.337,10.485,0,500,"1.0mm/min"
41.5,.522,697.4813,10.494,0,500,"1.0mm/min"
42,.53,679.7799,10.502,2,500,"1.0mm/min"
42.5,.532,685.2635,10.503,0,500,"1.0mm/min"
43,.539,699.3733,10.511,0,500,"1.0mm/min"
43.5,.548,699.2932,10.52,0,500,"1.0mm/min"
44,.556,680.8381,10.527,2,500,"1.0mm/min"
44.5,.558,689.0314,10.53,0,500,"1.0mm/min"
45,.567,701.57,10.538,0,500,"1.0mm/min"
45.5,.579,682.8423,10.55,2,500,"1.0mm/min"
46,.586,701.1852,10.557,0,500,"1.0mm/min"
46.5,.595,702.1793,10.567,0,500,"1.0mm/min"
47,.604,685.023,10.576,2,500,"1.0mm/min"
47.5,.61,701.7303,10.582,0,500,"1.0mm/min"
48,.619,702.8046,10.591,0,500,"1.0mm/min"
48.5,.628,702.2274,10.599,0,500,"1.0mm/min"
49,.637,702.2755,10.608,0,500,"1.0mm/min"
49.5,.646,702.3556,10.617,0,500,"1.0mm/min"
50,.654,702.2755,10.626,0,500,"1.0mm/min"
50.5,.663,702.4518,10.635,0,500,"1.0mm/min"
51,.672,702.4037,10.643,0,500,"1.0mm/min"
51.5,.681,702.2113,10.652,0,500,"1.0mm/min"
52,.689,701.9708,10.661,0,500,"1.0mm/min"
52.5,.698,701.586,10.669,0,500,"1.0mm/min"
53,.705,681.255,10.677,2,500,"1.0mm/min"
53.5,.707,687.6525,10.679,0,500,"1.0mm/min"
54,.714,702.5481,10.686,0,500,"1.0mm/min"
54.5,.723,699.9185,10.694,0,500,"1.0mm/min"
55,.731,698.0906,10.703,0,500,"1.0mm/min"
55.5,.739,696.1826,10.711,0,500,"1.0mm/min"
56,.748,694.018,10.719,0,500,"1.0mm/min"
56.5,.755,664.1147,10.727,2,500,"1.0mm/min"
57,.759,684.9909,10.731,0,500,"1.0mm/min"
57.5,.767,689.785,10.739,0,500,"1.0mm/min"
58,.775,684.4137,10.747,0,500,"1.0mm/min"
58.5,.783,680.2288,10.755,0,500,"1.0mm/min"
59,.791,675.4988,10.763,0,500,"1.0mm/min"
59.5,.804,637.8672,10.775,2,500,"1.0mm/min"
60,.807,655.8572,10.779,0,500,"1.0mm/min"
60.5,.811,621.1438,10.783,0,500,"1.0mm/min"
61,.802,199.9323,10.773,0,500,"1.0mm/min"
61.5,.81,200.285,10.782,0,500,"1.0mm/min"
62,.818,200.4293,10.79,0,500,"1.0mm/min"
62.5,.827,200.6378,10.798,0,500,"1.0mm/min"
63,.835,200.6378,10.807,0,500,"1.0mm/min"
63.5,.844,200.6859,10.815,0,500,"1.0mm/min"
